trial	frequency_Hz	anode	cathode	amplitude_uA	pulse_width_us	observed_response
1	50	CH30	CH31	1500	300	No observable motor or behavioral response.
2	50	CH13	CH14	1500	300	No observable motor or behavioral response.
3	50	CH29	CH30	1800	300	Not documented.
4	50	CH29	CH30	2000	300	No observable motor or behavioral response.
5	50	CH29	CH30	2200	300	Left facial and hand movement; possible left-sided body involvement.
6	50	CH29	CH30	2200	300	Left finger movement.
7	50	CH30	CH31	2200	300	Bilateral facial movement.
8	50	CH13	CH14	2200	300	No observable motor or behavioral response.
9	50	CH13	CH14	2400	300	No observable motor or behavioral response.
10	50	CH15	CH16	2400	300	Right perioral (orofacial) movement.
11	50	CH15	CH16	2200	300	Right perioral (orofacial) movement.
12	50	CH15	CH16	2000	300	Right perioral (orofacial) movement.
13	50	CH15	CH16	1800	300	Right perioral (orofacial) movement.
14	50	CH15	CH16	1600	300	Right perioral (orofacial) movement.
15	50	CH15	CH16	1500	300	Not documented.
16	50	CH15	CH16	1400	300	Slight right perioral movement.
17	50	CH15	CH16	1300	300	Subtle abnormal sensation without clear movement.
