onset	duration	trial_type	stim_file	response_type	response_time
48.198	n/a	movement_start	n/a	right_button	0.406
59.942	n/a	movement_start	n/a	left_button	0.304
68.688	n/a	movement_start	n/a	left_button	0.504
78.584	n/a	movement_start	n/a	left_button	0.252
89.776	n/a	movement_start	n/a	left_button	0.404
100.968	n/a	movement_start	n/a	right_button	0.106
109.314	n/a	movement_start	n/a	right_button	0.202
118.258	n/a	movement_start	n/a	right_button	0.454
131.649	n/a	movement_start	n/a	left_button	0.403
142.893	n/a	movement_start	n/a	left_button	0.203
164.878	n/a	movement_start	n/a	left_button	0.454
184.968	n/a	movement_start	n/a	right_button	0.154
200.208	n/a	movement_start	n/a	left_button	0.454
208.653	n/a	movement_start	n/a	right_button	0.353
224.142	n/a	movement_start	n/a	right_button	0.206
236.486	n/a	movement_start	n/a	left_button	0.602
247.630	n/a	movement_start	n/a	left_button	0.200
257.872	n/a	movement_start	n/a	right_button	0.002
267.866	n/a	movement_start	n/a	left_button	0.504
279.308	n/a	movement_start	n/a	left_button	0.254
290.450	n/a	movement_start	n/a	right_button	0.156
301.594	n/a	movement_start	n/a	right_button	0.254
313.034	n/a	movement_start	n/a	left_button	0.206
328.474	n/a	movement_start	n/a	left_button	0.204
341.714	n/a	movement_start	n/a	right_button	0.204
351.508	n/a	movement_start	n/a	right_button	0.452
359.748	n/a	movement_start	n/a	left_button	1.252
374.188	n/a	movement_start	n/a	right_button	0.204
385.380	n/a	movement_start	n/a	left_button	0.204
406.964	n/a	movement_start	n/a	left_button	0.254
415.208	n/a	movement_start	n/a	right_button	0.202
425.552	n/a	movement_start	n/a	right_button	0.250
438.492	n/a	movement_start	n/a	left_button	0.252
447.734	n/a	movement_start	n/a	left_button	0.256
462.026	n/a	movement_start	n/a	left_button	0.304
476.266	n/a	movement_start	n/a	right_button	0.204
488.606	n/a	movement_start	n/a	left_button	0.256
498.652	n/a	movement_start	n/a	right_button	0.254
509.044	n/a	movement_start	n/a	left_button	0.254
517.488	n/a	movement_start	n/a	left_button	0.404
526.482	n/a	movement_start	n/a	left_button	1.106
537.424	n/a	movement_start	n/a	left_button	0.204
545.570	n/a	movement_start	n/a	left_button	0.254
554.664	n/a	movement_start	n/a	right_button	0.204
564.658	n/a	movement_start	n/a	left_button	0.204
576.600	n/a	movement_start	n/a	right_button	0.252
593.890	n/a	movement_start	n/a	right_button	0.150
606.182	n/a	movement_start	n/a	right_button	0.202
616.726	n/a	movement_start	n/a	left_button	1.152
644.656	n/a	movement_start	n/a	right_button	0.154
657.442	n/a	movement_start	n/a	left_button	0.208
669.086	n/a	movement_start	n/a	right_button	0.204
682.880	n/a	movement_start	n/a	right_button	0.402
693.122	n/a	movement_start	n/a	right_button	0.254
703.414	n/a	movement_start	n/a	right_button	0.202
722.002	n/a	movement_start	n/a	right_button	0.152
734.142	n/a	movement_start	n/a	right_button	0.204
745.884	n/a	movement_start	n/a	right_button	0.156
760.076	n/a	movement_start	n/a	right_button	0.202
771.070	n/a	movement_start	n/a	right_button	0.204
783.214	n/a	movement_start	n/a	right_button	0.452
797.804	n/a	movement_start	n/a	right_button	0.204
809.644	n/a	movement_start	n/a	left_button	0.206
820.540	n/a	movement_start	n/a	right_button	0.204
839.176	n/a	movement_start	n/a	right_button	0.154
851.920	n/a	movement_start	n/a	right_button	0.204
860.866	n/a	movement_start	n/a	right_button	0.152
871.706	n/a	movement_start	n/a	right_button	0.156
883.348	n/a	movement_start	n/a	right_button	0.206
893.246	n/a	movement_start	n/a	left_button	0.202
903.788	n/a	movement_start	n/a	left_button	0.254
914.282	n/a	movement_start	n/a	right_button	0.204
924.922	n/a	movement_start	n/a	right_button	0.206
937.516	n/a	movement_start	n/a	right_button	0.204
948.758	n/a	movement_start	n/a	right_button	0.404
963.646	n/a	movement_start	n/a	right_button	0.204
978.584	n/a	movement_start	n/a	right_button	0.156
988.828	n/a	movement_start	n/a	right_button	0.204
997.222	n/a	movement_start	n/a	left_button	0.852
1019.856	n/a	movement_start	n/a	left_button	0.204
1031.446	n/a	movement_start	n/a	right_button	0.204
1043.486	n/a	movement_start	n/a	right_button	0.204
1051.534	n/a	movement_start	n/a	right_button	1.402
1073.418	n/a	movement_start	n/a	right_button	0.352
1082.510	n/a	movement_start	n/a	right_button	0.204
1092.454	n/a	movement_start	n/a	right_button	0.204
1104.294	n/a	movement_start	n/a	right_button	0.304
1119.582	n/a	movement_start	n/a	right_button	0.154
1130.526	n/a	movement_start	n/a	right_button	0.202
1143.216	n/a	movement_start	n/a	right_button	0.204
1154.208	n/a	movement_start	n/a	right_button	0.202
1181.790	n/a	movement_start	n/a	right_button	0.204
1192.928	n/a	movement_start	n/a	right_button	0.756
1203.675	n/a	movement_start	n/a	left_button	1.253
1218.216	n/a	movement_start	n/a	right_button	0.202
1234.902	n/a	movement_start	n/a	right_button	0.306
