onset	duration	trial_type	stim_file	response_type	response_time
11.982	n/a	movement_start	n/a	right_hand	n/a
18.450	n/a	movement_start	n/a	right_hand	n/a
27.420	n/a	movement_start	n/a	right_hand	n/a
38.398	n/a	movement_start	n/a	right_hand	n/a
64.420	n/a	movement_start	n/a	right_hand	n/a
77.954	n/a	movement_start	n/a	right_hand	n/a
87.582	n/a	movement_start	n/a	right_hand	n/a
96.604	n/a	movement_start	n/a	right_hand	n/a
108.086	n/a	movement_start	n/a	right_hand	n/a
118.364	n/a	movement_start	n/a	right_hand	n/a
134.910	n/a	movement_start	n/a	right_hand	n/a
147.340	n/a	movement_start	n/a	right_hand	n/a
159.826	n/a	movement_start	n/a	right_hand	n/a
171.110	n/a	movement_start	n/a	right_hand	n/a
182.242	n/a	movement_start	n/a	right_hand	n/a
191.920	n/a	movement_start	n/a	right_hand	n/a
203.552	n/a	movement_start	n/a	right_hand	n/a
215.334	n/a	movement_start	n/a	right_hand	n/a
228.122	n/a	movement_start	n/a	right_hand	n/a
239.654	n/a	movement_start	n/a	right_hand	n/a
254.948	n/a	movement_start	n/a	right_hand	n/a
276.212	n/a	movement_start	n/a	right_hand	n/a
294.364	n/a	movement_start	n/a	right_hand	n/a
306.096	n/a	movement_start	n/a	right_hand	n/a
318.082	n/a	movement_start	n/a	right_hand	n/a
328.262	n/a	movement_start	n/a	right_hand	n/a
344.506	n/a	movement_start	n/a	right_hand	n/a
358.546	n/a	movement_start	n/a	right_hand	n/a
372.236	n/a	movement_start	n/a	right_hand	n/a
384.874	n/a	movement_start	n/a	right_hand	n/a
396.006	n/a	movement_start	n/a	right_hand	n/a
408.192	n/a	movement_start	n/a	right_hand	n/a
421.932	n/a	movement_start	n/a	right_hand	n/a
432.156	n/a	movement_start	n/a	right_hand	n/a
448.454	n/a	movement_start	n/a	right_hand	n/a
459.788	n/a	movement_start	n/a	right_hand	n/a
473.776	n/a	movement_start	n/a	right_hand	n/a
485.862	n/a	movement_start	n/a	right_hand	n/a
496.592	n/a	movement_start	n/a	right_hand	n/a
510.932	n/a	movement_start	n/a	right_hand	n/a
524.522	n/a	movement_start	n/a	right_hand	n/a
537.810	n/a	movement_start	n/a	right_hand	n/a
550.096	n/a	movement_start	n/a	right_hand	n/a
562.986	n/a	movement_start	n/a	right_hand	n/a
585.704	n/a	movement_start	n/a	right_hand	n/a
598.690	n/a	movement_start	n/a	right_hand	n/a
611.174	n/a	movement_start	n/a	right_hand	n/a
626.072	n/a	movement_start	n/a	right_hand	n/a
639.158	n/a	movement_start	n/a	right_hand	n/a
653.048	n/a	movement_start	n/a	right_hand	n/a
665.332	n/a	movement_start	n/a	right_hand	n/a
678.222	n/a	movement_start	n/a	right_hand	n/a
