subject	session	task	run	n_samples	missing_samples	missing_pct	interpolated_samples	interpolated_pct	missing_reason	loss_rate	loss_event_count	loss_gap_len_mean	loss_gap_len_median	loss_gap_len_std	loss_gap_len_cv	loss_gap_len_p90	loss_gap_len_max	contig_run_len_mean	contig_run_len_std	contig_run_len_cv
sub-monkeyb	ses-day09	rest	run-01	195047	1098	0.56	1098	0.56	occasional packet loss due to varying wireless conditions	0.005629	614	1.788	2.000	0.464	0.260	2.000	4	315.364	305.025	0.967
sub-monkeyb	ses-day15	rest	run-01	183426	841	0.46	841	0.46	occasional packet loss due to varying wireless conditions	0.004585	470	1.789	2.000	0.506	0.283	2.000	4	387.654	359.432	0.927
sub-monkeyb	ses-day24	rest	run-01	165399	984	0.59	984	0.59	occasional packet loss due to varying wireless conditions	0.005949	541	1.819	2.000	0.464	0.255	2.000	4	303.349	326.579	1.077
sub-monkeyb	ses-day24	rest	run-02	144817	954	0.66	954	0.66	occasional packet loss due to varying wireless conditions	0.006588	416	2.293	2.000	5.719	2.494	2.000	114	344.995	411.706	1.193
sub-monkeyb	ses-day24	pressing	run-01	288165	3192	1.11	3192	1.11	occasional packet loss due to varying wireless conditions	0.011077	782	4.082	2.000	64.265	15.744	2.000	1800	363.950	363.540	0.999
sub-monkeyb	ses-day24	pressing	run-02	357137	1513	0.42	1513	0.42	occasional packet loss due to varying wireless conditions	0.004236	886	1.708	2.000	0.504	0.295	2.000	6	400.929	383.271	0.956
sub-monkeyb	ses-day24	pressing	run-03	1403653	6435	0.46	6435	0.46	occasional packet loss due to varying wireless conditions	0.004584	3331	1.932	2.000	3.606	1.866	2.000	112	419.333	519.723	1.239
sub-monkeyb	ses-day24	listening	run-01	366637	1222	0.33	1222	0.33	occasional packet loss due to varying wireless conditions	0.003333	713	1.714	2.000	0.513	0.299	2.000	4	511.786	481.575	0.941
sub-monkeyb	ses-day24	listening	run-02	368515	1866	0.51	1866	0.51	occasional packet loss due to varying wireless conditions	0.005064	1015	1.838	2.000	0.566	0.308	2.000	8	360.875	379.011	1.050
sub-monkeyb	ses-day24	listening	run-03	476445	3214	0.67	3214	0.67	occasional packet loss due to varying wireless conditions	0.006746	1743	1.844	2.000	0.421	0.229	2.000	4	271.348	271.554	1.001
sub-monkeyb	ses-day24	listening	run-04	379513	2086	0.55	2086	0.55	occasional packet loss due to varying wireless conditions	0.005497	1125	1.854	2.000	0.555	0.299	2.000	6	335.193	383.465	1.144
sub-monkeyb	ses-day27	rest	run-01	189053	849	0.45	849	0.45	occasional packet loss due to varying wireless conditions	0.004491	484	1.754	2.000	0.458	0.261	2.000	4	388.049	428.673	1.105
sub-monkeyb	ses-day27	rest	run-02	222269	3119	1.40	3119	1.40	occasional packet loss due to varying wireless conditions	0.014033	941	3.315	2.000	19.497	5.882	2.000	456	232.643	355.601	1.529
sub-monkeyb	ses-day29	rest	run-01	183141	1458	0.80	1458	0.80	occasional packet loss due to varying wireless conditions	0.007961	774	1.884	2.000	0.537	0.285	2.000	8	234.430	245.260	1.046
sub-monkeyb	ses-day29	reaching	run-01	564271	3947	0.70	3947	0.70	occasional packet loss due to varying wireless conditions	0.006995	1988	1.985	2.000	2.288	1.152	2.000	90	281.711	395.087	1.402
sub-monkeyb	ses-day29	reaching	run-02	422243	2145	0.51	2145	0.51	occasional packet loss due to varying wireless conditions	0.005080	1187	1.807	2.000	0.541	0.299	2.000	6	353.618	402.133	1.137
sub-monkeyb	ses-day29	sep	run-01	122057	522	0.43	522	0.43	occasional packet loss due to varying wireless conditions	0.004277	275	1.898	2.000	0.829	0.437	2.000	6	440.344	474.318	1.077
sub-monkeyb	ses-day29	sep	run-02	136407	632	0.46	632	0.46	occasional packet loss due to varying wireless conditions	0.004633	302	2.093	2.000	3.604	1.722	2.000	58	448.102	576.501	1.287
sub-monkeyb	ses-day29	sep	run-03	75695	682	0.90	682	0.90	occasional packet loss due to varying wireless conditions	0.009010	317	2.151	2.000	0.961	0.447	4.000	10	235.890	361.886	1.534
sub-monkeyb	ses-day29	sep	run-04	106979	601	0.56	601	0.56	occasional packet loss due to varying wireless conditions	0.005618	259	2.320	2.000	5.214	2.247	2.000	84	409.146	432.813	1.058
sub-monkeyb	ses-day36	rest	run-01	186779	355	0.19	355	0.19	occasional packet loss due to varying wireless conditions	0.001901	231	1.537	2.000	0.499	0.324	2.000	2	803.552	692.261	0.862
sub-monkeyb	ses-day36	listening	run-01	519131	5757	1.11	5757	1.11	occasional packet loss due to varying wireless conditions	0.011090	2999	1.920	2.000	0.390	0.203	2.000	4	171.125	162.489	0.950
sub-monkeyb	ses-day36	listening	run-02	482489	1984	0.41	1984	0.41	occasional packet loss due to varying wireless conditions	0.004112	1135	1.748	2.000	0.480	0.275	2.000	4	422.980	409.357	0.968
sub-monkeyb	ses-day36	listening	run-03	430697	2426	0.56	2426	0.56	occasional packet loss due to varying wireless conditions	0.005633	1349	1.798	2.000	0.613	0.341	2.000	8	317.238	341.686	1.077
sub-monkeyb	ses-day36	listening	run-04	453107	1713	0.38	1713	0.38	occasional packet loss due to varying wireless conditions	0.003781	1013	1.691	2.000	0.559	0.330	2.000	6	445.162	425.390	0.956
sub-monkeyb	ses-day43	reaching	run-01	154901	2379	1.54	2379	1.54	occasional packet loss due to varying wireless conditions	0.015358	1080	2.203	2.000	1.928	0.875	2.000	50	141.093	223.525	1.584
sub-monkeyb	ses-day43	reaching	run-02	421599	1458	0.35	1458	0.35	occasional packet loss due to varying wireless conditions	0.003458	823	1.772	2.000	0.693	0.391	2.000	8	509.880	499.532	0.980
sub-monkeyb	ses-day43	reaching	run-03	415017	1329	0.32	1329	0.32	occasional packet loss due to varying wireless conditions	0.003202	806	1.649	2.000	0.616	0.373	2.000	8	512.625	486.332	0.949
sub-monkeyb	ses-day43	pressing	run-01	506312	2711	0.54	2711	0.54	occasional packet loss due to varying wireless conditions	0.005354	1409	1.924	2.000	2.208	1.147	2.000	76	357.164	372.485	1.043
sub-monkeyb	ses-day45	pressing	run-01	1507493	6054	0.40	6054	0.40	occasional packet loss due to varying wireless conditions	0.004016	3428	1.766	2.000	0.578	0.327	2.000	8	437.865	422.906	0.966
sub-monkeyb	ses-day45	rest	run-01	181877	798	0.44	798	0.44	occasional packet loss due to varying wireless conditions	0.004388	451	1.769	2.000	0.618	0.349	2.000	8	400.617	532.559	1.329
sub-monkeyb	ses-day50	listening	run-01	515443	3159	0.61	3159	0.61	occasional packet loss due to varying wireless conditions	0.006129	1698	1.860	2.000	0.800	0.430	2.000	24	301.521	333.933	1.107
sub-monkeyb	ses-day50	listening	run-02	428585	2574	0.60	2574	0.60	occasional packet loss due to varying wireless conditions	0.006006	1182	2.178	2.000	3.675	1.688	2.000	74	360.111	411.603	1.143
sub-monkeyb	ses-day50	listening	run-03	415155	7413	1.79	7413	1.79	occasional packet loss due to varying wireless conditions	0.017856	2294	3.231	2.000	9.250	2.862	4.000	328	177.665	323.612	1.821
sub-monkeyb	ses-day50	listening	run-04	515123	1827	0.35	1827	0.35	occasional packet loss due to varying wireless conditions	0.003547	972	1.880	2.000	3.021	1.607	2.000	84	527.540	541.618	1.027
sub-monkeyb	ses-day50	rest	run-01	237767	4132	1.74	4132	1.74	occasional packet loss due to varying wireless conditions	0.017378	984	4.199	2.000	9.417	2.242	14.000	224	237.193	319.551	1.347
sub-monkeyb	ses-day52	pressing	run-01	1273597	4133	0.32	4133	0.32	occasional packet loss due to varying wireless conditions	0.003245	2464	1.677	2.000	0.638	0.381	2.000	6	514.996	513.367	0.997
sub-monkeyb	ses-day52	rest	run-01	182397	627	0.34	627	0.34	occasional packet loss due to varying wireless conditions	0.003438	366	1.713	2.000	0.470	0.274	2.000	4	495.286	461.698	0.932
sub-monkeyb	ses-day56	sep	run-01	97647	410	0.42	410	0.42	occasional packet loss due to varying wireless conditions	0.004199	229	1.790	2.000	0.598	0.334	2.000	6	422.770	475.806	1.125
sub-monkeyb	ses-day56	sep	run-02	98149	584	0.60	584	0.60	occasional packet loss due to varying wireless conditions	0.005950	313	1.866	2.000	0.561	0.300	2.000	6	310.717	320.259	1.031
sub-monkeyb	ses-day56	rest	run-01	185663	734	0.40	734	0.40	occasional packet loss due to varying wireless conditions	0.003953	420	1.748	2.000	1.400	0.801	2.000	28	439.261	422.175	0.961
sub-monkeyb	ses-day59	reaching	run-01	478596	2612	0.55	2612	0.55	occasional packet loss due to varying wireless conditions	0.005458	1411	1.851	2.000	0.683	0.369	2.000	10	337.099	408.155	1.211
sub-monkeyb	ses-day59	reaching	run-02	449719	5208	1.16	5208	1.16	occasional packet loss due to varying wireless conditions	0.011581	1790	2.909	2.000	36.708	12.617	2.000	1548	248.192	285.100	1.149
sub-monkeyb	ses-day59	rest	run-01	178163	1061	0.60	1061	0.60	occasional packet loss due to varying wireless conditions	0.005955	549	1.933	2.000	2.484	1.285	2.000	54	322.004	331.024	1.028
