onset	duration	trial_type	stim_file	response_type	response_time
26.264	1	stimulus_on	DoMiSo.wav	n/a	n/a
36.332	1	stimulus_on	SoMiDo.wav	n/a	n/a
46.447	1	stimulus_on	MiDoSo.wav	n/a	n/a
56.516	1	stimulus_on	DoSoMi.wav	n/a	n/a
66.608	1	stimulus_on	DoMiSo.wav	n/a	n/a
76.700	1	stimulus_on	SoMiDo.wav	n/a	n/a
86.792	1	stimulus_on	MiDoSo.wav	n/a	n/a
96.862	1	stimulus_on	DoSoMi.wav	n/a	n/a
106.954	1	stimulus_on	DoMiSo.wav	n/a	n/a
117.026	1	stimulus_on	SoMiDo.wav	n/a	n/a
127.098	1	stimulus_on	MiDoSo.wav	n/a	n/a
137.208	1	stimulus_on	DoSoMi.wav	n/a	n/a
147.300	1	stimulus_on	DoMiSo.wav	n/a	n/a
157.412	1	stimulus_on	SoMiDo.wav	n/a	n/a
167.524	1	stimulus_on	MiDoSo.wav	n/a	n/a
177.596	1	stimulus_on	SoMiDo.wav	n/a	n/a
187.666	1	stimulus_on	MiDoSo.wav	n/a	n/a
197.778	1	stimulus_on	DoSoMi.wav	n/a	n/a
207.850	1	stimulus_on	DoMiSo.wav	n/a	n/a
217.942	1	stimulus_on	SoMiDo.wav	n/a	n/a
228.034	1	stimulus_on	MiDoSo.wav	n/a	n/a
238.104	1	stimulus_on	MiDoSo.wav	n/a	n/a
248.194	1	stimulus_on	DoSoMi.wav	n/a	n/a
258.246	1	stimulus_on	DoSoMi.wav	n/a	n/a
268.336	1	stimulus_on	DoSoMi.wav	n/a	n/a
278.426	1	stimulus_on	DoMiSo.wav	n/a	n/a
288.520	1	stimulus_on	SoMiDo.wav	n/a	n/a
298.634	1	stimulus_on	DoMiSo.wav	n/a	n/a
308.744	1	stimulus_on	DoMiSo.wav	n/a	n/a
318.856	1	stimulus_on	SoMiDo.wav	n/a	n/a
328.988	1	stimulus_on	MiDoSo.wav	n/a	n/a
339.082	1	stimulus_on	DoSoMi.wav	n/a	n/a
349.188	1	stimulus_on	DoMiSo.wav	n/a	n/a
359.282	1	stimulus_on	SoMiDo.wav	n/a	n/a
369.376	1	stimulus_on	MiDoSo.wav	n/a	n/a
379.448	1	stimulus_on	MiDoSo.wav	n/a	n/a
389.558	1	stimulus_on	DoSoMi.wav	n/a	n/a
399.670	1	stimulus_on	DoSoMi.wav	n/a	n/a
409.842	1	stimulus_on	DoMiSo.wav	n/a	n/a
419.952	1	stimulus_on	SoMiDo.wav	n/a	n/a
