subject	session	task	run	n_samples	missing_samples	missing_pct	interpolated_samples	interpolated_pct	missing_reason	loss_rate	loss_event_count	loss_gap_len_mean	loss_gap_len_median	loss_gap_len_std	loss_gap_len_cv	loss_gap_len_p90	loss_gap_len_max	contig_run_len_mean	contig_run_len_std	contig_run_len_cv
sub-monkeyc	ses-day48	sep	run-01	63645	598	0.94	598	0.94	occasional packet loss due to varying wireless conditions	0.009396	312	1.917	2	0.466	0.243	2	4	201.428	181.234	0.9
sub-monkeyc	ses-day48	sep	run-02	38617	1099	2.85	1099	2.85	occasional packet loss due to varying wireless conditions	0.028459	366	3.003	2	2.619	0.872	4	26	102.229	159.509	1.56
sub-monkeyc	ses-day48	sep	run-03	56843	1311	2.31	1311	2.31	occasional packet loss due to varying wireless conditions	0.023064	647	2.026	2	0.459	0.227	2	6	85.698	78.518	0.916
sub-monkeyc	ses-day48	sep	run-04	40211	1523	3.79	1523	3.79	occasional packet loss due to varying wireless conditions	0.037875	749	2.033	2	0.394	0.194	2	4	51.584	49.082	0.951
sub-monkeyc	ses-day53	rest	run-01	183475	3659	1.99	3659	1.99	occasional packet loss due to varying wireless conditions	0.019943	1693	2.161	2	1.174	0.543	2	12	106.149	91.846	0.865
sub-monkeyc	ses-day53	pressing	run-01	648437	15503	2.39	15503	2.39	occasional packet loss due to varying wireless conditions	0.023908	6596	2.35	2	1.552	0.66	2	24	95.943	81.652	0.851
sub-monkeyc	ses-day53	pressing	run-02	529667	13193	2.49	13193	2.49	occasional packet loss due to varying wireless conditions	0.024908	4938	2.672	2	18.943	7.09	2	1328	104.571	94.428	0.903
sub-monkeyc	ses-day53	pressing	run-03	356121	2396	0.67	2396	0.67	occasional packet loss due to varying wireless conditions	0.006728	1261	1.9	2	0.57	0.3	2	6	280.289	304.382	1.086
sub-monkeyc	ses-day57	rest	run-01	184265	3500	1.9	3500	1.9	occasional packet loss due to varying wireless conditions	0.018994	1662	2.106	2	1.023	0.486	2	20	108.698	97.277	0.895
sub-monkeyc	ses-day57	pressing	run-01	443505	4792	1.08	4792	1.08	occasional packet loss due to varying wireless conditions	0.010805	2372	2.02	2	2.038	1.009	2	68	184.877	204.471	1.106
sub-monkeyc	ses-day57	pressing	run-02	698645	11687	1.67	11687	1.67	occasional packet loss due to varying wireless conditions	0.016728	5479	2.133	2	1.132	0.531	2	20	125.357	99.097	0.791
sub-monkeyc	ses-day57	pressing	run-03	233787	4964	2.12	4964	2.12	occasional packet loss due to varying wireless conditions	0.021233	1907	2.603	2	18.601	7.146	2	812	119.928	146.306	1.22
sub-monkeyc	ses-day75	rest	run-01	181991	6056	3.33	6056	3.33	occasional packet loss due to varying wireless conditions	0.033276	2901	2.088	2	0.608	0.291	2	10	60.625	75.944	1.253
sub-monkeyc	ses-day75	pressing	run-01	508793	16997	3.34	16997	3.34	occasional packet loss due to varying wireless conditions	0.033407	7652	2.221	2	1.436	0.646	2	54	64.262	83.72	1.303
sub-monkeyc	ses-day75	pressing	run-02	341841	8576	2.51	8576	2.51	occasional packet loss due to varying wireless conditions	0.025088	3824	2.243	2	2.924	1.304	2	156	87.128	124.371	1.427
sub-monkeyc	ses-day77	rest	run-01	181565	1594	0.88	1594	0.88	occasional packet loss due to varying wireless conditions	0.008779	853	1.869	2	0.398	0.213	2	4	210.739	213.749	1.014
sub-monkeyc	ses-day77	rest	run-02	184135	1157	0.63	1157	0.63	occasional packet loss due to varying wireless conditions	0.006283	619	1.869	2	0.515	0.276	2	6	295.126	325.953	1.104
sub-monkeyc	ses-day82	rest	run-01	122755	2388	1.95	2388	1.95	occasional packet loss due to varying wireless conditions	0.019453	1099	2.173	2	0.888	0.409	2	10	109.425	153.289	1.401
sub-monkeyc	ses-day82	pressing	run-01	577139	2924	0.51	2924	0.51	occasional packet loss due to varying wireless conditions	0.005066	1580	1.851	2	0.602	0.325	2	10	363.197	373.91	1.029
sub-monkeyc	ses-day85	rest	run-01	181446	1159	0.64	1159	0.64	occasional packet loss due to varying wireless conditions	0.006388	623	1.86	2	0.437	0.235	2	4	288.921	281.394	0.974
sub-monkeyc	ses-day91	rest	run-01	193647	1576	0.81	1576	0.81	occasional packet loss due to varying wireless conditions	0.008139	840	1.876	2	0.469	0.25	2	4	228.384	242.273	1.061
sub-monkeyc	ses-day91	pressing	run-01	900299	7034	0.78	7034	0.78	occasional packet loss due to varying wireless conditions	0.007813	3740	1.881	2	0.437	0.232	2	4	238.777	260.158	1.09
sub-monkeyc	ses-day91	pressing	run-02	539843	5201	0.96	5201	0.96	occasional packet loss due to varying wireless conditions	0.009634	2756	1.887	2	0.443	0.235	2	4	193.922	201.599	1.04
sub-monkeyc	ses-day95	rest	run-01	183054	2091	1.14	2091	1.14	occasional packet loss due to varying wireless conditions	0.011423	1085	1.927	2	0.373	0.194	2	4	166.633	181.607	1.09
sub-monkeyc	ses-day95	pressing	run-01	121338	1829	1.51	1829	1.51	occasional packet loss due to varying wireless conditions	0.015074	940	1.946	2	0.333	0.171	2	4	127.002	134.414	1.058
sub-monkeyc	ses-day95	pressing	run-02	887771	4949	0.56	4949	0.56	occasional packet loss due to varying wireless conditions	0.005575	2712	1.825	2	0.47	0.258	2	8	325.404	328.485	1.009
sub-monkeyc	ses-day98	rest	run-01	181955	1579	0.87	1579	0.87	occasional packet loss due to varying wireless conditions	0.008678	844	1.871	2	0.359	0.192	2	4	213.463	232.436	1.089
sub-monkeyc	ses-day102	rest	run-01	183623	2153	1.17	2153	1.17	occasional packet loss due to varying wireless conditions	0.011725	1089	1.977	2	0.682	0.345	2	10	166.486	177.592	1.067
sub-monkeyc	ses-day105	rest	run-01	180727	3135	1.73	3135	1.73	occasional packet loss due to varying wireless conditions	0.017347	1452	2.159	2	1.381	0.64	2	16	122.224	134.077	1.097
sub-monkeyc	ses-day105	rest	run-02	299261	1823	0.61	1823	0.61	occasional packet loss due to varying wireless conditions	0.006092	1018	1.791	2	0.444	0.248	2	4	291.892	289.352	0.991
