onset	duration	trial_type	stim_side	amplitude_mA	response_type	response_time
73.988000	0.000200	ssep_stim	Right	2.500	n/a	n/a
74.138000	0.000200	ssep_stim	Right	2.500	n/a	n/a
74.286000	0.000200	ssep_stim	Right	2.500	n/a	n/a
74.434000	0.000200	ssep_stim	Right	2.500	n/a	n/a
74.580000	0.000200	ssep_stim	Right	2.500	n/a	n/a
74.730000	0.000200	ssep_stim	Right	2.500	n/a	n/a
74.876000	0.000200	ssep_stim	Right	2.500	n/a	n/a
75.022000	0.000200	ssep_stim	Right	2.500	n/a	n/a
75.174000	0.000200	ssep_stim	Right	2.500	n/a	n/a
75.320000	0.000200	ssep_stim	Right	2.500	n/a	n/a
75.466000	0.000200	ssep_stim	Right	2.500	n/a	n/a
75.616000	0.000200	ssep_stim	Right	2.500	n/a	n/a
75.760000	0.000200	ssep_stim	Right	2.500	n/a	n/a
75.908000	0.000200	ssep_stim	Right	2.500	n/a	n/a
76.058000	0.000200	ssep_stim	Right	2.500	n/a	n/a
76.206000	0.000200	ssep_stim	Right	2.500	n/a	n/a
76.354000	0.000200	ssep_stim	Right	2.500	n/a	n/a
76.502000	0.000200	ssep_stim	Right	2.500	n/a	n/a
76.648000	0.000200	ssep_stim	Right	2.500	n/a	n/a
76.796000	0.000200	ssep_stim	Right	2.500	n/a	n/a
76.944000	0.000200	ssep_stim	Right	2.500	n/a	n/a
77.094000	0.000200	ssep_stim	Right	2.500	n/a	n/a
77.242000	0.000200	ssep_stim	Right	2.500	n/a	n/a
77.388000	0.000200	ssep_stim	Right	2.500	n/a	n/a
77.536000	0.000200	ssep_stim	Right	2.500	n/a	n/a
77.684000	0.000200	ssep_stim	Right	2.500	n/a	n/a
77.832000	0.000200	ssep_stim	Right	2.500	n/a	n/a
77.980000	0.000200	ssep_stim	Right	2.500	n/a	n/a
78.126000	0.000200	ssep_stim	Right	2.500	n/a	n/a
78.274000	0.000200	ssep_stim	Right	2.500	n/a	n/a
78.420000	0.000200	ssep_stim	Right	2.500	n/a	n/a
78.570000	0.000200	ssep_stim	Right	2.500	n/a	n/a
78.716000	0.000200	ssep_stim	Right	2.500	n/a	n/a
78.864000	0.000200	ssep_stim	Right	2.500	n/a	n/a
79.012000	0.000200	ssep_stim	Right	2.500	n/a	n/a
79.158000	0.000200	ssep_stim	Right	2.500	n/a	n/a
79.308000	0.000200	ssep_stim	Right	2.500	n/a	n/a
79.456000	0.000200	ssep_stim	Right	2.500	n/a	n/a
79.602000	0.000200	ssep_stim	Right	2.500	n/a	n/a
79.752000	0.000200	ssep_stim	Right	2.500	n/a	n/a
79.898000	0.000200	ssep_stim	Right	2.500	n/a	n/a
80.046000	0.000200	ssep_stim	Right	2.500	n/a	n/a
80.194000	0.000200	ssep_stim	Right	2.500	n/a	n/a
80.342000	0.000200	ssep_stim	Right	2.500	n/a	n/a
80.490000	0.000200	ssep_stim	Right	2.500	n/a	n/a
80.638000	0.000200	ssep_stim	Right	2.500	n/a	n/a
80.786000	0.000200	ssep_stim	Right	2.500	n/a	n/a
80.934000	0.000200	ssep_stim	Right	2.500	n/a	n/a
81.082000	0.000200	ssep_stim	Right	2.500	n/a	n/a
81.228000	0.000200	ssep_stim	Right	2.500	n/a	n/a
81.374000	0.000200	ssep_stim	Right	2.500	n/a	n/a
81.522000	0.000200	ssep_stim	Right	2.500	n/a	n/a
81.672000	0.000200	ssep_stim	Right	2.500	n/a	n/a
81.818000	0.000200	ssep_stim	Right	2.500	n/a	n/a
81.966000	0.000200	ssep_stim	Right	2.500	n/a	n/a
82.112000	0.000200	ssep_stim	Right	2.500	n/a	n/a
