onset	duration	trial_type	stim_side	amplitude_mA	response_type	response_time
36.038000	0.000200	ssep_stim	Left	2.500	n/a	n/a
36.184000	0.000200	ssep_stim	Left	2.500	n/a	n/a
36.334000	0.000200	ssep_stim	Left	2.500	n/a	n/a
36.480000	0.000200	ssep_stim	Left	2.500	n/a	n/a
36.628000	0.000200	ssep_stim	Left	2.500	n/a	n/a
36.776000	0.000200	ssep_stim	Left	2.500	n/a	n/a
36.924000	0.000200	ssep_stim	Left	2.500	n/a	n/a
37.072000	0.000200	ssep_stim	Left	2.500	n/a	n/a
37.218000	0.000200	ssep_stim	Left	2.500	n/a	n/a
37.366000	0.000200	ssep_stim	Left	2.500	n/a	n/a
37.514000	0.000200	ssep_stim	Left	2.500	n/a	n/a
37.662000	0.000200	ssep_stim	Left	2.500	n/a	n/a
37.810000	0.000200	ssep_stim	Left	2.500	n/a	n/a
37.956000	0.000200	ssep_stim	Left	2.500	n/a	n/a
38.106000	0.000200	ssep_stim	Left	2.500	n/a	n/a
38.250000	0.000200	ssep_stim	Left	2.500	n/a	n/a
38.398000	0.000200	ssep_stim	Left	2.500	n/a	n/a
38.548000	0.000200	ssep_stim	Left	2.500	n/a	n/a
38.692000	0.000200	ssep_stim	Left	2.500	n/a	n/a
38.842000	0.000200	ssep_stim	Left	2.500	n/a	n/a
38.990000	0.000200	ssep_stim	Left	2.500	n/a	n/a
39.136000	0.000200	ssep_stim	Left	2.500	n/a	n/a
39.284000	0.000200	ssep_stim	Left	2.500	n/a	n/a
39.432000	0.000200	ssep_stim	Left	2.500	n/a	n/a
39.582000	0.000200	ssep_stim	Left	2.500	n/a	n/a
39.726000	0.000200	ssep_stim	Left	2.500	n/a	n/a
39.874000	0.000200	ssep_stim	Left	2.500	n/a	n/a
40.024000	0.000200	ssep_stim	Left	2.500	n/a	n/a
40.168000	0.000200	ssep_stim	Left	2.500	n/a	n/a
40.316000	0.000200	ssep_stim	Left	2.500	n/a	n/a
40.464000	0.000200	ssep_stim	Left	2.500	n/a	n/a
40.612000	0.000200	ssep_stim	Left	2.500	n/a	n/a
40.758000	0.000200	ssep_stim	Left	2.500	n/a	n/a
40.906000	0.000200	ssep_stim	Left	2.500	n/a	n/a
41.054000	0.000200	ssep_stim	Left	2.500	n/a	n/a
41.202000	0.000200	ssep_stim	Left	2.500	n/a	n/a
41.352000	0.000200	ssep_stim	Left	2.500	n/a	n/a
41.498000	0.000200	ssep_stim	Left	2.500	n/a	n/a
41.644000	0.000200	ssep_stim	Left	2.500	n/a	n/a
41.794000	0.000200	ssep_stim	Left	2.500	n/a	n/a
41.942000	0.000200	ssep_stim	Left	2.500	n/a	n/a
42.090000	0.000200	ssep_stim	Left	2.500	n/a	n/a
42.236000	0.000200	ssep_stim	Left	2.500	n/a	n/a
42.384000	0.000200	ssep_stim	Left	2.500	n/a	n/a
42.534000	0.000200	ssep_stim	Left	2.500	n/a	n/a
42.678000	0.000200	ssep_stim	Left	2.500	n/a	n/a
42.828000	0.000200	ssep_stim	Left	2.500	n/a	n/a
42.972000	0.000200	ssep_stim	Left	2.500	n/a	n/a
43.122000	0.000200	ssep_stim	Left	2.500	n/a	n/a
43.270000	0.000200	ssep_stim	Left	2.500	n/a	n/a
43.418000	0.000200	ssep_stim	Left	2.500	n/a	n/a
43.564000	0.000200	ssep_stim	Left	2.500	n/a	n/a
43.712000	0.000200	ssep_stim	Left	2.500	n/a	n/a
43.860000	0.000200	ssep_stim	Left	2.500	n/a	n/a
44.006000	0.000200	ssep_stim	Left	2.500	n/a	n/a
44.156000	0.000200	ssep_stim	Left	2.500	n/a	n/a
44.302000	0.000200	ssep_stim	Left	2.500	n/a	n/a
44.450000	0.000200	ssep_stim	Left	2.500	n/a	n/a
44.598000	0.000200	ssep_stim	Left	2.500	n/a	n/a
44.744000	0.000200	ssep_stim	Left	2.500	n/a	n/a
44.894000	0.000200	ssep_stim	Left	2.500	n/a	n/a
45.042000	0.000200	ssep_stim	Left	2.500	n/a	n/a
45.186000	0.000200	ssep_stim	Left	2.500	n/a	n/a
45.334000	0.000200	ssep_stim	Left	2.500	n/a	n/a
45.482000	0.000200	ssep_stim	Left	2.500	n/a	n/a
45.632000	0.000200	ssep_stim	Left	2.500	n/a	n/a
45.778000	0.000200	ssep_stim	Left	2.500	n/a	n/a
45.926000	0.000200	ssep_stim	Left	2.500	n/a	n/a
46.074000	0.000200	ssep_stim	Left	2.500	n/a	n/a
46.222000	0.000200	ssep_stim	Left	2.500	n/a	n/a
46.370000	0.000200	ssep_stim	Left	2.500	n/a	n/a
46.518000	0.000200	ssep_stim	Left	2.500	n/a	n/a
46.664000	0.000200	ssep_stim	Left	2.500	n/a	n/a
46.812000	0.000200	ssep_stim	Left	2.500	n/a	n/a
46.960000	0.000200	ssep_stim	Left	2.500	n/a	n/a
47.108000	0.000200	ssep_stim	Left	2.500	n/a	n/a
47.256000	0.000200	ssep_stim	Left	2.500	n/a	n/a
47.402000	0.000200	ssep_stim	Left	2.500	n/a	n/a
47.550000	0.000200	ssep_stim	Left	2.500	n/a	n/a
47.696000	0.000200	ssep_stim	Left	2.500	n/a	n/a
47.846000	0.000200	ssep_stim	Left	2.500	n/a	n/a
47.994000	0.000200	ssep_stim	Left	2.500	n/a	n/a
48.138000	0.000200	ssep_stim	Left	2.500	n/a	n/a
48.288000	0.000200	ssep_stim	Left	2.500	n/a	n/a
48.432000	0.000200	ssep_stim	Left	2.500	n/a	n/a
48.580000	0.000200	ssep_stim	Left	2.500	n/a	n/a
48.730000	0.000200	ssep_stim	Left	2.500	n/a	n/a
48.876000	0.000200	ssep_stim	Left	2.500	n/a	n/a
49.024000	0.000200	ssep_stim	Left	2.500	n/a	n/a
49.172000	0.000200	ssep_stim	Left	2.500	n/a	n/a
49.320000	0.000200	ssep_stim	Left	2.500	n/a	n/a
49.466000	0.000200	ssep_stim	Left	2.500	n/a	n/a
49.614000	0.000200	ssep_stim	Left	2.500	n/a	n/a
49.762000	0.000200	ssep_stim	Left	2.500	n/a	n/a
49.910000	0.000200	ssep_stim	Left	2.500	n/a	n/a
50.058000	0.000200	ssep_stim	Left	2.500	n/a	n/a
50.206000	0.000200	ssep_stim	Left	2.500	n/a	n/a
50.352000	0.000200	ssep_stim	Left	2.500	n/a	n/a
50.500000	0.000200	ssep_stim	Left	2.500	n/a	n/a
50.648000	0.000200	ssep_stim	Left	2.500	n/a	n/a
50.796000	0.000200	ssep_stim	Left	2.500	n/a	n/a
50.942000	0.000200	ssep_stim	Left	2.500	n/a	n/a
51.090000	0.000200	ssep_stim	Left	2.500	n/a	n/a
51.240000	0.000200	ssep_stim	Left	2.500	n/a	n/a
51.386000	0.000200	ssep_stim	Left	2.500	n/a	n/a
51.534000	0.000200	ssep_stim	Left	2.500	n/a	n/a
51.680000	0.000200	ssep_stim	Left	2.500	n/a	n/a
51.830000	0.000200	ssep_stim	Left	2.500	n/a	n/a
51.978000	0.000200	ssep_stim	Left	2.500	n/a	n/a
52.124000	0.000200	ssep_stim	Left	2.500	n/a	n/a
52.272000	0.000200	ssep_stim	Left	2.500	n/a	n/a
52.420000	0.000200	ssep_stim	Left	2.500	n/a	n/a
52.568000	0.000200	ssep_stim	Left	2.500	n/a	n/a
52.716000	0.000200	ssep_stim	Left	2.500	n/a	n/a
