trial	frequency_Hz	anode	cathode	amplitude_uA	pulse_width_us	observed_response
1	50	CH13	CH14	1800	300	Right hand and left body movement.
2	50	CH14	CH15	1800	300	Right perioral and facial movement.
3	50	CH15	CH16	1800	300	Right perioral (orofacial) movement.
4	50	CH13	CH07	1800	300	No observable motor or behavioral response.
5	50	CH07	CH14	1800	300	Unclear observation (no definite motor response).
6	50	CH29	CH30	1800	300	Possible movement of the left index finger.
7	50	CH30	CH31	1800	300	No observable motor or behavioral response.
8	50	CH31	CH32	1800	300	No observable motor or behavioral response.
9	50	CH23	CH31	1800	300	Possible movement of the left thumb or index finger.
10	50	CH23	CH24	1800	300	Right perioral (orofacial) movement.
