subject	session	task	run	trial_number	events_tsv
monkeyb	day104	listening	01	40	sub-monkeyb/ses-day104/ieeg/sub-monkeyb_ses-day104_task-listening_run-01_events.tsv
monkeyb	day104	listening	02	40	sub-monkeyb/ses-day104/ieeg/sub-monkeyb_ses-day104_task-listening_run-02_events.tsv
monkeyb	day104	listening	03	40	sub-monkeyb/ses-day104/ieeg/sub-monkeyb_ses-day104_task-listening_run-03_events.tsv
monkeyb	day104	listening	04	40	sub-monkeyb/ses-day104/ieeg/sub-monkeyb_ses-day104_task-listening_run-04_events.tsv
monkeyb	day111	listening	01	40	sub-monkeyb/ses-day111/ieeg/sub-monkeyb_ses-day111_task-listening_run-01_events.tsv
monkeyb	day111	listening	02	40	sub-monkeyb/ses-day111/ieeg/sub-monkeyb_ses-day111_task-listening_run-02_events.tsv
monkeyb	day111	listening	03	40	sub-monkeyb/ses-day111/ieeg/sub-monkeyb_ses-day111_task-listening_run-03_events.tsv
monkeyb	day111	listening	04	40	sub-monkeyb/ses-day111/ieeg/sub-monkeyb_ses-day111_task-listening_run-04_events.tsv
monkeyb	day118	listening	01	40	sub-monkeyb/ses-day118/ieeg/sub-monkeyb_ses-day118_task-listening_run-01_events.tsv
monkeyb	day118	listening	02	40	sub-monkeyb/ses-day118/ieeg/sub-monkeyb_ses-day118_task-listening_run-02_events.tsv
monkeyb	day118	listening	03	40	sub-monkeyb/ses-day118/ieeg/sub-monkeyb_ses-day118_task-listening_run-03_events.tsv
monkeyb	day118	listening	04	40	sub-monkeyb/ses-day118/ieeg/sub-monkeyb_ses-day118_task-listening_run-04_events.tsv
monkeyb	day125	listening	01	40	sub-monkeyb/ses-day125/ieeg/sub-monkeyb_ses-day125_task-listening_run-01_events.tsv
monkeyb	day125	listening	02	40	sub-monkeyb/ses-day125/ieeg/sub-monkeyb_ses-day125_task-listening_run-02_events.tsv
monkeyb	day125	listening	03	40	sub-monkeyb/ses-day125/ieeg/sub-monkeyb_ses-day125_task-listening_run-03_events.tsv
monkeyb	day125	listening	04	40	sub-monkeyb/ses-day125/ieeg/sub-monkeyb_ses-day125_task-listening_run-04_events.tsv
monkeyb	day132	listening	01	40	sub-monkeyb/ses-day132/ieeg/sub-monkeyb_ses-day132_task-listening_run-01_events.tsv
monkeyb	day132	listening	02	40	sub-monkeyb/ses-day132/ieeg/sub-monkeyb_ses-day132_task-listening_run-02_events.tsv
monkeyb	day132	listening	03	40	sub-monkeyb/ses-day132/ieeg/sub-monkeyb_ses-day132_task-listening_run-03_events.tsv
monkeyb	day132	listening	04	40	sub-monkeyb/ses-day132/ieeg/sub-monkeyb_ses-day132_task-listening_run-04_events.tsv
monkeyb	day134	sep	01	242	sub-monkeyb/ses-day134/ieeg/sub-monkeyb_ses-day134_task-sep_run-01_events.tsv
monkeyb	day134	sep	02	239	sub-monkeyb/ses-day134/ieeg/sub-monkeyb_ses-day134_task-sep_run-02_events.tsv
monkeyb	day140	listening	01	40	sub-monkeyb/ses-day140/ieeg/sub-monkeyb_ses-day140_task-listening_run-01_events.tsv
monkeyb	day140	listening	02	40	sub-monkeyb/ses-day140/ieeg/sub-monkeyb_ses-day140_task-listening_run-02_events.tsv
monkeyb	day140	listening	03	40	sub-monkeyb/ses-day140/ieeg/sub-monkeyb_ses-day140_task-listening_run-03_events.tsv
monkeyb	day140	listening	04	40	sub-monkeyb/ses-day140/ieeg/sub-monkeyb_ses-day140_task-listening_run-04_events.tsv
monkeyb	day147	listening	01	40	sub-monkeyb/ses-day147/ieeg/sub-monkeyb_ses-day147_task-listening_run-01_events.tsv
monkeyb	day147	listening	02	40	sub-monkeyb/ses-day147/ieeg/sub-monkeyb_ses-day147_task-listening_run-02_events.tsv
monkeyb	day147	listening	03	40	sub-monkeyb/ses-day147/ieeg/sub-monkeyb_ses-day147_task-listening_run-03_events.tsv
monkeyb	day147	listening	04	40	sub-monkeyb/ses-day147/ieeg/sub-monkeyb_ses-day147_task-listening_run-04_events.tsv
monkeyb	day154	listening	01	40	sub-monkeyb/ses-day154/ieeg/sub-monkeyb_ses-day154_task-listening_run-01_events.tsv
monkeyb	day154	listening	02	40	sub-monkeyb/ses-day154/ieeg/sub-monkeyb_ses-day154_task-listening_run-02_events.tsv
monkeyb	day154	listening	03	40	sub-monkeyb/ses-day154/ieeg/sub-monkeyb_ses-day154_task-listening_run-03_events.tsv
monkeyb	day154	listening	04	40	sub-monkeyb/ses-day154/ieeg/sub-monkeyb_ses-day154_task-listening_run-04_events.tsv
monkeyb	day161	listening	01	40	sub-monkeyb/ses-day161/ieeg/sub-monkeyb_ses-day161_task-listening_run-01_events.tsv
monkeyb	day161	listening	02	40	sub-monkeyb/ses-day161/ieeg/sub-monkeyb_ses-day161_task-listening_run-02_events.tsv
monkeyb	day161	pressing	01	108	sub-monkeyb/ses-day161/ieeg/sub-monkeyb_ses-day161_task-pressing_run-01_events.tsv
monkeyb	day161	pressing	02	36	sub-monkeyb/ses-day161/ieeg/sub-monkeyb_ses-day161_task-pressing_run-02_events.tsv
monkeyb	day161	pressing	03	47	sub-monkeyb/ses-day161/ieeg/sub-monkeyb_ses-day161_task-pressing_run-03_events.tsv
monkeyb	day170	sep	01	226	sub-monkeyb/ses-day170/ieeg/sub-monkeyb_ses-day170_task-sep_run-01_events.tsv
monkeyb	day170	sep	02	218	sub-monkeyb/ses-day170/ieeg/sub-monkeyb_ses-day170_task-sep_run-02_events.tsv
monkeyb	day177	pressing	01	36	sub-monkeyb/ses-day177/ieeg/sub-monkeyb_ses-day177_task-pressing_run-01_events.tsv
monkeyb	day184	listening	01	40	sub-monkeyb/ses-day184/ieeg/sub-monkeyb_ses-day184_task-listening_run-01_events.tsv
monkeyb	day184	listening	02	40	sub-monkeyb/ses-day184/ieeg/sub-monkeyb_ses-day184_task-listening_run-02_events.tsv
monkeyb	day202	listening	01	40	sub-monkeyb/ses-day202/ieeg/sub-monkeyb_ses-day202_task-listening_run-01_events.tsv
monkeyb	day202	listening	02	40	sub-monkeyb/ses-day202/ieeg/sub-monkeyb_ses-day202_task-listening_run-02_events.tsv
monkeyb	day202	listening	03	40	sub-monkeyb/ses-day202/ieeg/sub-monkeyb_ses-day202_task-listening_run-03_events.tsv
monkeyb	day202	listening	04	40	sub-monkeyb/ses-day202/ieeg/sub-monkeyb_ses-day202_task-listening_run-04_events.tsv
monkeyb	day203	pressing	01	9	sub-monkeyb/ses-day203/ieeg/sub-monkeyb_ses-day203_task-pressing_run-01_events.tsv
