onset	duration	trial_type	stim_file	response_type	response_time
39.338	1	stimulus_on	MiDoSo.wav	n/a	n/a
49.388	1	stimulus_on	DoSoMi.wav	n/a	n/a
59.478	1	stimulus_on	DoMiSo.wav	n/a	n/a
69.570	1	stimulus_on	SoMiDo.wav	n/a	n/a
79.642	1	stimulus_on	DoSoMi.wav	n/a	n/a
89.732	1	stimulus_on	DoMiSo.wav	n/a	n/a
99.822	1	stimulus_on	SoMiDo.wav	n/a	n/a
109.896	1	stimulus_on	MiDoSo.wav	n/a	n/a
119.984	1	stimulus_on	DoSoMi.wav	n/a	n/a
130.094	1	stimulus_on	DoMiSo.wav	n/a	n/a
140.186	1	stimulus_on	DoMiSo.wav	n/a	n/a
150.298	1	stimulus_on	SoMiDo.wav	n/a	n/a
160.410	1	stimulus_on	MiDoSo.wav	n/a	n/a
170.520	1	stimulus_on	MiDoSo.wav	n/a	n/a
180.610	1	stimulus_on	MiDoSo.wav	n/a	n/a
190.682	1	stimulus_on	DoSoMi.wav	n/a	n/a
200.752	1	stimulus_on	MiDoSo.wav	n/a	n/a
210.844	1	stimulus_on	MiDoSo.wav	n/a	n/a
220.918	1	stimulus_on	DoSoMi.wav	n/a	n/a
230.984	1	stimulus_on	DoSoMi.wav	n/a	n/a
241.078	1	stimulus_on	DoMiSo.wav	n/a	n/a
251.152	1	stimulus_on	SoMiDo.wav	n/a	n/a
261.246	1	stimulus_on	DoSoMi.wav	n/a	n/a
271.316	1	stimulus_on	DoMiSo.wav	n/a	n/a
281.428	1	stimulus_on	SoMiDo.wav	n/a	n/a
291.502	1	stimulus_on	DoSoMi.wav	n/a	n/a
301.594	1	stimulus_on	DoSoMi.wav	n/a	n/a
311.686	1	stimulus_on	DoMiSo.wav	n/a	n/a
321.780	1	stimulus_on	SoMiDo.wav	n/a	n/a
331.850	1	stimulus_on	MiDoSo.wav	n/a	n/a
341.964	1	stimulus_on	SoMiDo.wav	n/a	n/a
352.056	1	stimulus_on	MiDoSo.wav	n/a	n/a
362.126	1	stimulus_on	DoSoMi.wav	n/a	n/a
372.222	1	stimulus_on	DoMiSo.wav	n/a	n/a
382.314	1	stimulus_on	DoMiSo.wav	n/a	n/a
392.388	1	stimulus_on	SoMiDo.wav	n/a	n/a
402.478	1	stimulus_on	MiDoSo.wav	n/a	n/a
412.572	1	stimulus_on	SoMiDo.wav	n/a	n/a
422.688	1	stimulus_on	DoMiSo.wav	n/a	n/a
432.760	1	stimulus_on	SoMiDo.wav	n/a	n/a
