trial	frequency_Hz	anode	cathode	amplitude_uA	pulse_width_us	observed_response
1	50	CH13	CH14	1440	300	Right thumb movement.
2	50	CH06	CH07	1440	300	No observable motor or behavioral response.
3	50	CH14	CH15	1440	300	No observable motor or behavioral response.
4	50	CH15	CH16	1440	300	Facial movement involving both sides, more prominent on the right.
5	50	CH08	CH09	1440	300	No observable motor or behavioral response.
6	50	CH30	CH31	1440	300	No observable motor or behavioral response.
7	50	CH29	CH30	1440	300	Movement of the entire left hand.
8	50	CH31	CH32	1440	300	Perioral (oral) movement.
