trial	frequency_Hz	anode	cathode	amplitude_uA	pulse_width_us	observed_response
1	50	CH29	CH30	1440	300	Movement of the left index finger (strong) and middle finger.
2	50	CH31	CH32	1440	300	No observable motor or behavioral response.
3	50	CH30	CH31	1440	300	No observable motor or behavioral response.
4	50	CH13	CH14	1440	300	Strong right thumb movement.
5	50	CH15	CH16	1440	300	Right perioral movement, possibly involving the tongue and lower lip.
6	50	CH31	CH32	1600	300	Possible oral or perioral response.
7	50	CH31	CH32	1800	300	Oral and left lower-lip movement observed.
