onset	duration	trial_type	stim_file	response_type	response_time
27.108	n/a	movement_start	n/a	left_hand	n/a
44.562	n/a	movement_start	n/a	left_hand	n/a
55.692	n/a	movement_start	n/a	left_hand	n/a
66.528	n/a	movement_start	n/a	left_hand	n/a
75.906	n/a	movement_start	n/a	left_hand	n/a
87.542	n/a	movement_start	n/a	left_hand	n/a
98.222	n/a	movement_start	n/a	left_hand	n/a
110.760	n/a	movement_start	n/a	left_hand	n/a
123.250	n/a	movement_start	n/a	left_hand	n/a
133.078	n/a	movement_start	n/a	left_hand	n/a
146.922	n/a	movement_start	n/a	left_hand	n/a
159.408	n/a	movement_start	n/a	left_hand	n/a
178.866	n/a	movement_start	n/a	left_hand	n/a
186.340	n/a	movement_start	n/a	left_hand	n/a
202.738	n/a	movement_start	n/a	left_hand	n/a
213.020	n/a	movement_start	n/a	left_hand	n/a
225.058	n/a	movement_start	n/a	left_hand	n/a
234.784	n/a	movement_start	n/a	left_hand	n/a
249.332	n/a	movement_start	n/a	left_hand	n/a
260.618	n/a	movement_start	n/a	left_hand	n/a
271.950	n/a	movement_start	n/a	left_hand	n/a
287.398	n/a	movement_start	n/a	left_hand	n/a
299.938	n/a	movement_start	n/a	left_hand	n/a
324.666	n/a	movement_start	n/a	left_hand	n/a
334.800	n/a	movement_start	n/a	left_hand	n/a
346.586	n/a	movement_start	n/a	left_hand	n/a
359.176	n/a	movement_start	n/a	left_hand	n/a
370.662	n/a	movement_start	n/a	left_hand	n/a
386.262	n/a	movement_start	n/a	left_hand	n/a
396.594	n/a	movement_start	n/a	left_hand	n/a
407.730	n/a	movement_start	n/a	left_hand	n/a
420.470	n/a	movement_start	n/a	left_hand	n/a
439.226	n/a	movement_start	n/a	left_hand	n/a
450.962	n/a	movement_start	n/a	left_hand	n/a
461.194	n/a	movement_start	n/a	left_hand	n/a
474.134	n/a	movement_start	n/a	left_hand	n/a
487.275	n/a	movement_start	n/a	left_hand	n/a
502.020	n/a	movement_start	n/a	left_hand	n/a
515.512	n/a	movement_start	n/a	left_hand	n/a
526.796	n/a	movement_start	n/a	left_hand	n/a
541.192	n/a	movement_start	n/a	left_hand	n/a
558.546	n/a	movement_start	n/a	left_hand	n/a
571.086	n/a	movement_start	n/a	left_hand	n/a
588.492	n/a	movement_start	n/a	left_hand	n/a
599.426	n/a	movement_start	n/a	left_hand	n/a
615.626	n/a	movement_start	n/a	left_hand	n/a
629.220	n/a	movement_start	n/a	left_hand	n/a
639.802	n/a	movement_start	n/a	left_hand	n/a
651.488	n/a	movement_start	n/a	left_hand	n/a
670.748	n/a	movement_start	n/a	left_hand	n/a
685.548	n/a	movement_start	n/a	left_hand	n/a
698.438	n/a	movement_start	n/a	left_hand	n/a
714.286	n/a	movement_start	n/a	left_hand	n/a
737.210	n/a	movement_start	n/a	left_hand	n/a
748.344	n/a	movement_start	n/a	left_hand	n/a
762.990	n/a	movement_start	n/a	left_hand	n/a
788.216	n/a	movement_start	n/a	left_hand	n/a
801.308	n/a	movement_start	n/a	left_hand	n/a
816.256	n/a	movement_start	n/a	left_hand	n/a
833.412	n/a	movement_start	n/a	left_hand	n/a
