onset	duration	trial_type	stim_file	response_type	response_time
1215.832	n/a	movement_start	n/a	right_button	0.240
1230.770	n/a	movement_start	n/a	right_button	0.242
1242.212	n/a	movement_start	n/a	left_button	0.442
1260.300	n/a	movement_start	n/a	right_button	0.292
1278.888	n/a	movement_start	n/a	right_button	0.292
1292.426	n/a	movement_start	n/a	left_button	1.042
1310.912	n/a	movement_start	n/a	left_button	1.392
1332.894	n/a	movement_start	n/a	left_button	0.394
1343.684	n/a	movement_start	n/a	right_button	1.442
1361.522	n/a	movement_start	n/a	left_button	0.490
1374.612	n/a	movement_start	n/a	right_button	0.242
1389.800	n/a	movement_start	n/a	right_button	0.640
1406.234	n/a	movement_start	n/a	right_button	0.290
1420.422	n/a	movement_start	n/a	left_button	0.396
1440.514	n/a	movement_start	n/a	left_button	1.242
1457.502	n/a	movement_start	n/a	right_button	0.292
1469.196	n/a	movement_start	n/a	left_button	0.892
1489.732	n/a	movement_start	n/a	left_button	0.144
1505.874	n/a	movement_start	n/a	left_button	0.340
1520.512	n/a	movement_start	n/a	left_button	1.140
1540.648	n/a	movement_start	n/a	right_button	0.242
1563.482	n/a	movement_start	n/a	left_button	0.440
1580.366	n/a	movement_start	n/a	right_button	0.944
1594.956	n/a	movement_start	n/a	left_button	0.341
1605.500	n/a	movement_start	n/a	right_button	0.290
1622.886	n/a	movement_start	n/a	right_button	0.342
1641.226	n/a	movement_start	n/a	left_button	0.490
1679.348	n/a	movement_start	n/a	right_button	0.292
1693.342	n/a	movement_start	n/a	right_button	0.242
1704.084	n/a	movement_start	n/a	left_button	0.192
1722.620	n/a	movement_start	n/a	left_button	0.594
1740.860	n/a	movement_start	n/a	left_button	0.490
1753.502	n/a	movement_start	n/a	right_button	0.292
1776.038	n/a	movement_start	n/a	left_button	0.690
1802.022	n/a	movement_start	n/a	left_button	0.340
1814.312	n/a	movement_start	n/a	left_button	0.192
2123.182	n/a	movement_start	n/a	right_button	0.240
2133.272	n/a	movement_start	n/a	right_button	0.292
2143.064	n/a	movement_start	n/a	right_button	0.290
2153.806	n/a	movement_start	n/a	right_button	0.890
2164.346	n/a	movement_start	n/a	right_button	0.490
2173.190	n/a	movement_start	n/a	left_button	0.392
2183.932	n/a	movement_start	n/a	right_button	0.242
2192.578	n/a	movement_start	n/a	left_button	0.242
2200.870	n/a	movement_start	n/a	left_button	0.792
2225.902	n/a	movement_start	n/a	right_button	0.242
2237.844	n/a	movement_start	n/a	right_button	0.244
2249.888	n/a	movement_start	n/a	right_button	0.840
2259.628	n/a	movement_start	n/a	right_button	0.242
2269.720	n/a	movement_start	n/a	right_button	0.194
2280.464	n/a	movement_start	n/a	right_button	0.192
2290.406	n/a	movement_start	n/a	right_button	0.242
2301.298	n/a	movement_start	n/a	left_button	0.392
2309.492	n/a	movement_start	n/a	left_button	0.092
2318.686	n/a	movement_start	n/a	left_button	0.142
2348.566	n/a	movement_start	n/a	right_button	0.340
2360.256	n/a	movement_start	n/a	right_button	0.442
2370.650	n/a	movement_start	n/a	right_button	0.290
2380.342	n/a	movement_start	n/a	right_button	0.942
2390.684	n/a	movement_start	n/a	right_button	0.392
2402.126	n/a	movement_start	n/a	right_button	0.844
2415.768	n/a	movement_start	n/a	right_button	0.244
