onset	duration	trial_type	stim_file	response_type	response_time
11.552	n/a	movement_start	n/a	left_hand	n/a
21.226	n/a	movement_start	n/a	left_hand	n/a
33.962	n/a	movement_start	n/a	left_hand	n/a
47.302	n/a	movement_start	n/a	left_hand	n/a
58.532	n/a	movement_start	n/a	left_hand	n/a
71.768	n/a	movement_start	n/a	left_hand	n/a
82.298	n/a	movement_start	n/a	left_hand	n/a
95.234	n/a	movement_start	n/a	left_hand	n/a
106.818	n/a	movement_start	n/a	left_hand	n/a
138.556	n/a	movement_start	n/a	left_hand	n/a
148.686	n/a	movement_start	n/a	left_hand	n/a
161.724	n/a	movement_start	n/a	left_hand	n/a
174.760	n/a	movement_start	n/a	left_hand	n/a
186.794	n/a	movement_start	n/a	left_hand	n/a
200.686	n/a	movement_start	n/a	left_hand	n/a
216.082	n/a	movement_start	n/a	left_hand	n/a
227.868	n/a	movement_start	n/a	left_hand	n/a
242.314	n/a	movement_start	n/a	left_hand	n/a
258.964	n/a	movement_start	n/a	left_hand	n/a
273.202	n/a	movement_start	n/a	left_hand	n/a
298.582	n/a	movement_start	n/a	left_hand	n/a
308.912	n/a	movement_start	n/a	left_hand	n/a
324.060	n/a	movement_start	n/a	left_hand	n/a
336.796	n/a	movement_start	n/a	left_hand	n/a
356.556	n/a	movement_start	n/a	left_hand	n/a
368.894	n/a	movement_start	n/a	left_hand	n/a
382.034	n/a	movement_start	n/a	left_hand	n/a
395.228	n/a	movement_start	n/a	left_hand	n/a
417.996	n/a	movement_start	n/a	left_hand	n/a
428.326	n/a	movement_start	n/a	left_hand	n/a
440.412	n/a	movement_start	n/a	left_hand	n/a
456.408	n/a	movement_start	n/a	left_hand	n/a
465.238	n/a	movement_start	n/a	left_hand	n/a
496.234	n/a	movement_start	n/a	left_hand	n/a
510.832	n/a	movement_start	n/a	left_hand	n/a
529.140	n/a	movement_start	n/a	left_hand	n/a
543.534	n/a	movement_start	n/a	left_hand	n/a
555.624	n/a	movement_start	n/a	left_hand	n/a
569.566	n/a	movement_start	n/a	left_hand	n/a
580.904	n/a	movement_start	n/a	left_hand	n/a
594.952	n/a	movement_start	n/a	left_hand	n/a
604.078	n/a	movement_start	n/a	left_hand	n/a
626.850	n/a	movement_start	n/a	left_hand	n/a
635.676	n/a	movement_start	n/a	left_hand	n/a
669.378	n/a	movement_start	n/a	left_hand	n/a
677.554	n/a	movement_start	n/a	left_hand	n/a
702.184	n/a	movement_start	n/a	left_hand	n/a
729.266	n/a	movement_start	n/a	left_hand	n/a
740.854	n/a	movement_start	n/a	left_hand	n/a
756.206	n/a	movement_start	n/a	left_hand	n/a
776.570	n/a	movement_start	n/a	left_hand	n/a
788.004	n/a	movement_start	n/a	left_hand	n/a
800.646	n/a	movement_start	n/a	left_hand	n/a
812.732	n/a	movement_start	n/a	left_hand	n/a
830.844	n/a	movement_start	n/a	left_hand	n/a
842.984	n/a	movement_start	n/a	left_hand	n/a
854.168	n/a	movement_start	n/a	left_hand	n/a
877.092	n/a	movement_start	n/a	left_hand	n/a
892.994	n/a	movement_start	n/a	left_hand	n/a
900.820	n/a	movement_start	n/a	left_hand	n/a
915.116	n/a	movement_start	n/a	left_hand	n/a
932.472	n/a	movement_start	n/a	left_hand	n/a
