onset	duration	trial_type	stim_file	response_type	response_time
43.726	n/a	movement_start	n/a	left_hand	n/a
56.362	n/a	movement_start	n/a	left_hand	n/a
69.704	n/a	movement_start	n/a	left_hand	n/a
80.890	n/a	movement_start	n/a	left_hand	n/a
93.480	n/a	movement_start	n/a	left_hand	n/a
109.528	n/a	movement_start	n/a	left_hand	n/a
122.768	n/a	movement_start	n/a	left_hand	n/a
160.790	n/a	movement_start	n/a	left_hand	n/a
204.174	n/a	movement_start	n/a	left_hand	n/a
217.468	n/a	movement_start	n/a	left_hand	n/a
224.790	n/a	movement_start	n/a	left_hand	n/a
238.284	n/a	movement_start	n/a	left_hand	n/a
250.622	n/a	movement_start	n/a	left_hand	n/a
262.760	n/a	movement_start	n/a	left_hand	n/a
273.092	n/a	movement_start	n/a	left_hand	n/a
276.602	n/a	movement_start	n/a	left_hand	n/a
298.022	n/a	movement_start	n/a	left_hand	n/a
320.994	n/a	movement_start	n/a	left_hand	n/a
332.682	n/a	movement_start	n/a	left_hand	n/a
356.508	n/a	movement_start	n/a	left_hand	n/a
367.744	n/a	movement_start	n/a	left_hand	n/a
381.540	n/a	movement_start	n/a	left_hand	n/a
396.588	n/a	movement_start	n/a	left_hand	n/a
420.566	n/a	movement_start	n/a	left_hand	n/a
429.648	n/a	movement_start	n/a	left_hand	n/a
437.170	n/a	movement_start	n/a	left_hand	n/a
450.864	n/a	movement_start	n/a	left_hand	n/a
461.950	n/a	movement_start	n/a	left_hand	n/a
477.854	n/a	movement_start	n/a	left_hand	n/a
487.484	n/a	movement_start	n/a	left_hand	n/a
498.218	n/a	movement_start	n/a	left_hand	n/a
511.664	n/a	movement_start	n/a	left_hand	n/a
526.360	n/a	movement_start	n/a	left_hand	n/a
555.150	n/a	movement_start	n/a	left_hand	n/a
565.584	n/a	movement_start	n/a	left_hand	n/a
578.328	n/a	movement_start	n/a	left_hand	n/a
620.710	n/a	movement_start	n/a	left_hand	n/a
628.088	n/a	movement_start	n/a	left_hand	n/a
643.388	n/a	movement_start	n/a	left_hand	n/a
659.290	n/a	movement_start	n/a	left_hand	n/a
703.536	n/a	movement_start	n/a	left_hand	n/a
733.336	n/a	movement_start	n/a	left_hand	n/a
746.078	n/a	movement_start	n/a	left_hand	n/a
769.308	n/a	movement_start	n/a	left_hand	n/a
785.310	n/a	movement_start	n/a	left_hand	n/a
794.542	n/a	movement_start	n/a	left_hand	n/a
809.240	n/a	movement_start	n/a	left_hand	n/a
822.436	n/a	movement_start	n/a	left_hand	n/a
834.726	n/a	movement_start	n/a	left_hand	n/a
850.226	n/a	movement_start	n/a	left_hand	n/a
868.940	n/a	movement_start	n/a	left_hand	n/a
884.594	n/a	movement_start	n/a	left_hand	n/a
894.978	n/a	movement_start	n/a	left_hand	n/a
910.480	n/a	movement_start	n/a	left_hand	n/a
929.544	n/a	movement_start	n/a	left_hand	n/a
939.128	n/a	movement_start	n/a	left_hand	n/a
950.114	n/a	movement_start	n/a	left_hand	n/a
962.606	n/a	movement_start	n/a	left_hand	n/a
977.456	n/a	movement_start	n/a	left_hand	n/a
991.904	n/a	movement_start	n/a	left_hand	n/a
1008.156	n/a	movement_start	n/a	left_hand	n/a
