onset	duration	trial_type	stim_file	response_type	response_time
155.478	n/a	movement_start	n/a	right_button	0.298
163.824	n/a	movement_start	n/a	left_button	0.446
170.818	n/a	movement_start	n/a	left_button	0.398
178.916	n/a	movement_start	n/a	right_button	0.296
186.410	n/a	movement_start	n/a	right_button	0.246
203.498	n/a	movement_start	n/a	left_button	0.347
225.886	n/a	movement_start	n/a	right_button	0.946
232.430	n/a	movement_start	n/a	right_button	1.198
241.126	n/a	movement_start	n/a	right_button	0.048
267.756	n/a	movement_start	n/a	right_button	0.248
286.148	n/a	movement_start	n/a	left_button	0.348
290.792	n/a	movement_start	n/a	right_button	0.248
298.140	n/a	movement_start	n/a	right_button	0.244
311.930	n/a	movement_start	n/a	right_button	0.194
318.126	n/a	movement_start	n/a	right_button	0.246
324.022	n/a	movement_start	n/a	right_button	0.148
349.908	n/a	movement_start	n/a	right_button	0.296
356.456	n/a	movement_start	n/a	left_button	0.344
374.842	n/a	movement_start	n/a	right_button	0.198
380.688	n/a	movement_start	n/a	right_button	0.250
386.184	n/a	movement_start	n/a	left_button	0.350
392.430	n/a	movement_start	n/a	left_button	0.350
398.880	n/a	movement_start	n/a	right_button	0.246
469.940	n/a	movement_start	n/a	left_button	0.244
475.438	n/a	movement_start	n/a	right_button	0.244
493.076	n/a	movement_start	n/a	left_button	0.346
