onset	duration	trial_type	stim_side	amplitude_mA	response_type	response_time
2.774000	0.000200	ssep_stim	Right	0.800	n/a	n/a
2.924000	0.000200	ssep_stim	Right	0.800	n/a	n/a
3.068000	0.000200	ssep_stim	Right	0.800	n/a	n/a
3.218000	0.000200	ssep_stim	Right	0.800	n/a	n/a
3.366000	0.000200	ssep_stim	Right	0.800	n/a	n/a
3.514000	0.000200	ssep_stim	Right	0.800	n/a	n/a
3.660000	0.000200	ssep_stim	Right	0.800	n/a	n/a
3.954000	0.000200	ssep_stim	Right	0.800	n/a	n/a
4.102000	0.000200	ssep_stim	Right	0.800	n/a	n/a
4.250000	0.000200	ssep_stim	Right	0.800	n/a	n/a
4.396000	0.000200	ssep_stim	Right	0.800	n/a	n/a
4.542000	0.000200	ssep_stim	Right	0.800	n/a	n/a
4.690000	0.000200	ssep_stim	Right	0.800	n/a	n/a
4.836000	0.000200	ssep_stim	Right	0.800	n/a	n/a
4.986000	0.000200	ssep_stim	Right	0.800	n/a	n/a
5.132000	0.000200	ssep_stim	Right	0.800	n/a	n/a
5.280000	0.000200	ssep_stim	Right	0.800	n/a	n/a
5.426000	0.000200	ssep_stim	Right	0.800	n/a	n/a
5.572000	0.000200	ssep_stim	Right	0.800	n/a	n/a
5.720000	0.000200	ssep_stim	Right	0.800	n/a	n/a
5.866000	0.000200	ssep_stim	Right	0.800	n/a	n/a
6.016000	0.000200	ssep_stim	Right	0.800	n/a	n/a
6.160000	0.000200	ssep_stim	Right	0.800	n/a	n/a
6.308000	0.000200	ssep_stim	Right	0.800	n/a	n/a
6.456000	0.000200	ssep_stim	Right	0.800	n/a	n/a
6.602000	0.000200	ssep_stim	Right	0.800	n/a	n/a
6.752000	0.000200	ssep_stim	Right	0.800	n/a	n/a
6.898000	0.000200	ssep_stim	Right	0.800	n/a	n/a
7.044000	0.000200	ssep_stim	Right	0.800	n/a	n/a
7.192000	0.000200	ssep_stim	Right	0.800	n/a	n/a
7.338000	0.000200	ssep_stim	Right	0.800	n/a	n/a
7.486000	0.000200	ssep_stim	Right	0.800	n/a	n/a
7.634000	0.000200	ssep_stim	Right	0.800	n/a	n/a
7.778000	0.000200	ssep_stim	Right	0.800	n/a	n/a
7.928000	0.000200	ssep_stim	Right	0.800	n/a	n/a
8.074000	0.000200	ssep_stim	Right	0.800	n/a	n/a
8.222000	0.000200	ssep_stim	Right	0.800	n/a	n/a
8.365000	0.000200	ssep_stim	Right	0.800	n/a	n/a
8.516000	0.000200	ssep_stim	Right	0.800	n/a	n/a
8.664000	0.000200	ssep_stim	Right	0.800	n/a	n/a
8.812000	0.000200	ssep_stim	Right	0.800	n/a	n/a
8.956000	0.000200	ssep_stim	Right	0.800	n/a	n/a
9.104000	0.000200	ssep_stim	Right	0.800	n/a	n/a
9.252000	0.000200	ssep_stim	Right	0.800	n/a	n/a
9.398000	0.000200	ssep_stim	Right	0.800	n/a	n/a
9.544000	0.000200	ssep_stim	Right	0.800	n/a	n/a
9.690000	0.000200	ssep_stim	Right	0.800	n/a	n/a
9.840000	0.000200	ssep_stim	Right	0.800	n/a	n/a
9.987000	0.000200	ssep_stim	Right	0.800	n/a	n/a
10.134000	0.000200	ssep_stim	Right	0.800	n/a	n/a
10.282000	0.000200	ssep_stim	Right	0.800	n/a	n/a
10.428000	0.000200	ssep_stim	Right	0.800	n/a	n/a
10.574000	0.000200	ssep_stim	Right	0.800	n/a	n/a
10.724000	0.000200	ssep_stim	Right	0.800	n/a	n/a
10.870000	0.000200	ssep_stim	Right	0.800	n/a	n/a
11.018000	0.000200	ssep_stim	Right	0.800	n/a	n/a
11.164000	0.000200	ssep_stim	Right	0.800	n/a	n/a
11.310000	0.000200	ssep_stim	Right	0.800	n/a	n/a
11.460000	0.000200	ssep_stim	Right	0.800	n/a	n/a
11.604000	0.000200	ssep_stim	Right	0.800	n/a	n/a
11.756000	0.000200	ssep_stim	Right	0.800	n/a	n/a
11.900000	0.000200	ssep_stim	Right	0.800	n/a	n/a
