onset	duration	trial_type	stim_file	response_type	response_time
74.770	n/a	movement_start	n/a	right_button	0.366
122.540	n/a	movement_start	n/a	right_button	0.216
142.580	n/a	movement_start	n/a	left_button	0.614
156.018	n/a	movement_start	n/a	right_button	0.216
166.862	n/a	movement_start	n/a	left_button	0.564
180.002	n/a	movement_start	n/a	left_button	0.318
191.598	n/a	movement_start	n/a	left_button	0.362
205.088	n/a	movement_start	n/a	right_button	0.214
220.126	n/a	movement_start	n/a	right_button	0.266
232.166	n/a	movement_start	n/a	left_button	0.214
242.158	n/a	movement_start	n/a	right_button	0.212
255.196	n/a	movement_start	n/a	left_button	0.264
267.142	n/a	movement_start	n/a	right_button	0.262
279.680	n/a	movement_start	n/a	right_button	0.266
290.824	n/a	movement_start	n/a	right_button	0.264
302.118	n/a	movement_start	n/a	left_button	0.264
314.608	n/a	movement_start	n/a	left_button	0.216
326.702	n/a	movement_start	n/a	left_button	0.516
341.492	n/a	movement_start	n/a	right_button	0.316
354.784	n/a	movement_start	n/a	right_button	0.166
366.276	n/a	movement_start	n/a	left_button	0.416
375.622	n/a	movement_start	n/a	left_button	0.214
391.808	n/a	movement_start	n/a	right_button	0.216
401.302	n/a	movement_start	n/a	left_button	0.314
412.142	n/a	movement_start	n/a	right_button	0.264
423.384	n/a	movement_start	n/a	right_button	1.016
443.120	n/a	movement_start	n/a	left_button	0.766
453.468	n/a	movement_start	n/a	left_button	0.214
464.608	n/a	movement_start	n/a	right_button	0.266
475.150	n/a	movement_start	n/a	right_button	0.168
482.894	n/a	movement_start	n/a	left_button	0.166
502.632	n/a	movement_start	n/a	right_button	0.214
526.014	n/a	movement_start	n/a	right_button	0.218
536.806	n/a	movement_start	n/a	left_button	0.268
548.500	n/a	movement_start	n/a	left_button	0.216
558.642	n/a	movement_start	n/a	left_button	0.368
568.088	n/a	movement_start	n/a	right_button	0.214
580.380	n/a	movement_start	n/a	left_button	0.214
590.024	n/a	movement_start	n/a	right_button	0.216
616.506	n/a	movement_start	n/a	right_button	0.414
627.548	n/a	movement_start	n/a	right_button	0.268
633.644	n/a	movement_start	n/a	left_button	0.268
642.790	n/a	movement_start	n/a	left_button	0.216
651.284	n/a	movement_start	n/a	left_button	0.416
660.378	n/a	movement_start	n/a	right_button	0.266
673.020	n/a	movement_start	n/a	right_button	0.216
681.916	n/a	movement_start	n/a	left_button	0.514
695.956	n/a	movement_start	n/a	left_button	0.216
705.950	n/a	movement_start	n/a	right_button	0.164
716.842	n/a	movement_start	n/a	right_button	0.266
724.634	n/a	movement_start	n/a	left_button	0.566
733.728	n/a	movement_start	n/a	left_button	0.166
746.520	n/a	movement_start	n/a	left_button	0.264
757.564	n/a	movement_start	n/a	right_button	0.264
770.254	n/a	movement_start	n/a	left_button	0.267
784.542	n/a	movement_start	n/a	left_button	0.316
816.370	n/a	movement_start	n/a	left_button	0.366
827.012	n/a	movement_start	n/a	right_button	1.166
838.104	n/a	movement_start	n/a	left_button	0.216
851.796	n/a	movement_start	n/a	right_button	0.268
864.536	n/a	movement_start	n/a	right_button	0.216
873.580	n/a	movement_start	n/a	left_button	0.266
884.172	n/a	movement_start	n/a	right_button	0.268
896.216	n/a	movement_start	n/a	right_button	0.216
907.306	n/a	movement_start	n/a	right_button	0.218
912.952	n/a	movement_start	n/a	left_button	0.216
923.994	n/a	movement_start	n/a	right_button	0.216
941.132	n/a	movement_start	n/a	left_button	0.414
951.174	n/a	movement_start	n/a	left_button	0.418
968.260	n/a	movement_start	n/a	right_button	0.166
980.402	n/a	movement_start	n/a	left_button	0.418
989.198	n/a	movement_start	n/a	left_button	0.266
998.742	n/a	movement_start	n/a	right_button	0.314
1006.138	n/a	movement_start	n/a	right_button	0.264
1039.862	n/a	movement_start	n/a	right_button	0.116
1054.252	n/a	movement_start	n/a	left_button	0.416
1065.944	n/a	movement_start	n/a	left_button	0.216
1073.338	n/a	movement_start	n/a	right_button	0.216
1083.180	n/a	movement_start	n/a	right_button	0.168
1108.164	n/a	movement_start	n/a	left_button	0.266
1117.556	n/a	movement_start	n/a	right_button	0.218
1127.000	n/a	movement_start	n/a	right_button	0.218
1136.192	n/a	movement_start	n/a	left_button	0.270
1148.384	n/a	movement_start	n/a	left_button	0.268
1168.172	n/a	movement_start	n/a	left_button	0.566
1190.852	n/a	movement_start	n/a	right_button	0.166
1202.740	n/a	movement_start	n/a	right_button	0.268
1225.424	n/a	movement_start	n/a	right_button	0.218
1237.266	n/a	movement_start	n/a	left_button	0.616
